concurso;data_do_sorteio;bola1;bola2;bola3;bola4;bola5;bola6;ganhadores_6_acertos;cidade_uf;rateio_6_acertos;ganhadores_5_acertos;rateio_5_acertos;ganhadores_4_acertos;rateio_4_acertos;acumulado_6_acertos;arrecadacao_total;estimativa_premio;acumulado_sorteio_especial_mega_da_virada;observacao
496;2003-09-10;10;19;20;29;41;59;0;NULL;0.00;31;27720.31;3495;244.94;4570690.49;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$6.000.000,00 (SEIS MILHÕES DE REAIS!!!).
497;2003-09-13;9;13;20;32;41;58;0;NULL;0.00;72;15712.44;5439;207.21;5928244.66;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.500.000,00 (SETE MILHÕES E MEIO DE REAIS!!!).
498;2003-09-17;2;6;28;49;50;57;0;NULL;0.00;58;17603.00;4592;221.50;7153413.01;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
499;2003-09-20;1;4;5;11;44;59;1;PE;8698099.22;126;10216.18;8903;144.04;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS). A CAIXA informa que o próximo concurso (500) da MEGA-SENA será realizado em Recife/PE em 27/09/2003.
500;2003-09-27;21;29;35;36;38;54;1;PR;9394248.83;73;23869.01;6818;254.60;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
501;2003-10-01;16;27;28;34;39;56;0;NULL;0.00;43;11303.51;3037;159.45;583261.35;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.500.000,00.
502;2003-10-04;7;13;21;24;33;50;2;MS/SP;730915.33;268;2731.87;9549;76.39;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
503;2003-10-08;7;10;21;27;48;49;0;NULL;0.00;40;11636.06;2934;158.04;558530.93;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.400.000,00.
504;2003-10-11;8;11;19;30;39;50;0;NULL;0.00;54;12855.55;4006;172.64;1391570.39;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.300.000,00.
505;2003-10-15;3;20;28;46;47;52;0;NULL;0.00;30;19736.18;2559;230.51;2102072.80;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.000.000,00.
506;2003-10-18;4;15;31;34;37;38;0;NULL;0.00;65;12720.38;4735;173.96;3094262.01;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.500.000,00.
507;2003-10-22;3;5;27;33;44;58;2;MG/SP;1963484.53;212;3273.22;6604;104.68;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
508;2003-10-25;5;10;15;45;46;56;0;NULL;0.00;33;18038.77;3025;196.05;714335.26;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.500.000,00.
509;2003-10-29;28;32;33;34;35;55;0;NULL;0.00;39;13104.28;2852;178.52;7199176.21;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$8.500.000,00.
510;2003-11-01;1;4;30;41;45;58;2;MA/SP;4252983.06;70;15557.02;4392;247.01;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
511;2003-11-05;3;4;8;34;36;37;0;NULL;0.00;50;8700.75;3155;137.37;761315.61;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.800.000,00.
512;2003-11-08;4;8;31;40;53;58;3;MS/RJ;653828.50;41;16727.11;2277;300.05;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
513;2003-11-12;10;19;27;33;39;46;0;NULL;0.00;46;8485.71;2427;160.23;683099.65;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.500.000,00
514;2003-11-15;15;36;40;42;51;52;0;NULL;0.00;20;24964.72;1209;411.42;4941165.35;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$6.500.000,00.
515;2003-11-19;15;16;39;45;48;57;0;NULL;0.00;33;20464.65;2636;255.23;6122998.73;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.500.000,00 (SETE MILHÕES E QUINHENTOS MIL REAIS!!!).
516;2003-11-22;5;13;24;33;34;35;0;NULL;0.00;164;5416.02;7718;114.65;7677394.38;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$9.000.000,00. (NOVE MILHÕES DE REAIS).
517;2003-11-26;7;8;28;32;38;51;0;NULL;0.00;36;22385.92;3262;246.13;9087707.16;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS).
518;2003-11-29;5;8;10;15;18;44;0;NULL;0.00;182;6014.85;8653;126.04;11003437.88;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
519;2003-12-03;9;15;19;22;36;42;0;NULL;0.00;111;9685.31;7018;152.61;18558840.36;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$21.000.000,00 (VINTE E UM MILHÕES DE REAIS).
520;2003-12-06;9;12;17;32;34;35;0;NULL;0.00;166;10017.32;10884;152.20;21468871.74;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$24.000.000,00 (VINTE E QUATRO MILHÕES DE REAIS).
521;2003-12-10;15;25;28;32;38;45;0;NULL;0.00;166;10463.37;10610;163.09;24508480.18;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$ 29.000.000,00 (VINTE E NOVE MILHÕES).
522;2003-12-13;6;14;15;25;49;52;0;NULL;0.00;118;19311.39;8280;274.17;28496281.66;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$33.000.000,00 (TRINTA E TRÊS MILHÕES DE REAIS).
523;2003-12-17;28;39;40;44;45;58;0;NULL;0.00;123;27528.74;9692;348.05;34421843.43;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$40.000.000,00 (QUARENTA MILHÕES DE REAIS).
524;2003-12-20;19;29;34;41;47;48;1;SC;42794697.56;180;26580.49;17156;277.83;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00 (VINTE MILHÕES DE REAIS).
525;2003-12-27;8;10;24;26;32;49;2;MG/SP;10208722.99;153;11600.82;9640;183.43;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00
526;2004-01-03;3;21;31;36;55;59;0;NULL;0.00;34;22681.04;2444;314.34;1349521.77;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.000.000,00.
527;2004-01-07;6;14;17;26;50;52;0;NULL;0.00;23;27463.44;2091;300.94;2454925.13;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.000.000,00.
528;2004-01-10;8;12;28;31;34;37;0;NULL;0.00;67;12554.60;4827;173.60;3926952.17;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$5.500.000,00.
529;2004-01-14;1;13;33;38;45;56;15;BA/CE/PB/PE/PI/RN;348732.75;87;8565.12;4758;156.03;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
530;2004-01-17;1;6;21;25;32;49;0;NULL;0.00;49;18501.75;3771;239.50;7541604.05;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
531;2004-01-21;1;3;7;18;35;50;0;NULL;0.00;96;9079.10;5188;167.37;9066892.84;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS).
532;2004-01-24;4;9;12;13;52;53;0;NULL;0.00;69;16628.16;5314;215.09;11074743.03;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
533;2004-01-28;13;18;21;27;53;59;0;NULL;0.00;82;12747.27;5129;203.03;12903975.95;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$15.000.000,00 (QUINZE MILHÕES DE REAIS).
534;2004-01-31;3;8;23;31;48;57;1;MT;15184658.12;107;12179.88;6559;197.95;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00. (OITO MILHÕES DE REAIS).
535;2004-02-04;6;14;28;47;49;56;1;DF;7834139.14;59;12025.02;4136;170.89;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
536;2004-02-07;14;15;22;23;25;37;0;NULL;0.00;49;12551.38;3217;190.46;1076280.35;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
537;2004-02-11;3;7;19;34;37;39;1;RS;2054340.05;128;4366.34;5345;104.17;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
538;2004-02-14;3;25;43;45;52;56;0;NULL;0.00;36;16533.54;2657;223.17;1041612.80;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
539;2004-02-18;6;16;19;47;50;55;0;NULL;0.00;21;25214.62;1908;276.47;5728373.54;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
540;2004-02-21;4;22;28;30;44;49;0;NULL;0.00;84;10186.19;4535;187.97;7225743.35;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS). A CAIXA informa que o concurso 541 da Mega Sena ocorrerá em 28/02/2004 (sábado) às 20 horas.
541;2004-02-28;13;27;49;52;57;58;1;MG;9144543.50;54;20304.76;4879;223.88;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
542;2004-03-03;4;6;19;28;35;49;0;NULL;0.00;42;9683.43;2800;144.70;711731.71;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.700.000,00 (HUM MILHÃO E SETECENTOS MIL REAIS).
543;2004-03-06;35;37;42;46;49;54;1;PR;1836749.58;78;8241.89;2557;250.47;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
544;2004-03-10;11;17;33;34;47;56;0;NULL;0.00;39;10062.10;2415;161.89;4929350.89;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$6.000.000,00 (SEIS MILHÕES DE REAIS).
545;2004-03-13;17;29;35;40;43;57;1;ES;6409645.53;102;8292.97;4315;195.29;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$750.000,00.
546;2004-03-17;4;5;13;17;46;54;0;NULL;0.00;32;12224.97;3003;129.78;684598.29;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.500.000,00 (HUM MILHÃO E QUINHENTOS MIL REAIS).
547;2004-03-20;4;13;28;30;53;59;1;PB;1746857.35;42;14452.51;2599;232.67;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$850.000,00.
548;2004-03-24;14;47;49;51;58;59;0;NULL;0.00;9;41634.70;965;386.83;655746.39;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.700.000,00 (HUM MILHÃO E SETECENTOS MIL REAIS).
549;2004-03-27;8;13;22;46;51;58;0;NULL;0.00;34;17519.41;2772;214.07;5216225.00;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
550;2004-03-31;16;17;38;39;45;56;0;NULL;0.00;39;18277.00;2948;240.88;6463630.53;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00 (OITO MILHÕES DE REAIS).
551;2004-04-03;12;21;46;48;56;57;0;NULL;0.00;35;28192.58;3027;324.75;8190426.28;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
552;2004-04-07;9;22;47;49;52;54;0;NULL;0.00;69;14110.09;4299;225.61;9894220.21;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$11.500.000,00 (ONZE MILHÕES E QUINHENTOS MIL REAIS).
553;2004-04-10;4;43;46;53;54;58;0;NULL;0.00;42;23814.78;3308;301.22;11644606.76;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.500.000,00 (TREZE MILHÕES E QUINHENTOS MIL REAIS).
554;2004-04-14;15;29;31;42;47;60;0;NULL;0.00;64;20951.21;4812;277.60;20258939.21;0.00;0.00;0.00;ACUMULOU !!! Estimativa de prêmio (SENA) próximo concurso: R$23.000.000,00 (VINTE E TRÊS MILHÕES DE REAIS).
555;2004-04-17;5;23;31;33;45;49;1;PR;23810057.19;152;13350.07;10733;188.35;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.300.000,00 (UM MILHÃO E TREZENTOS MIL REAIS).
556;2004-04-21;8;10;17;30;33;45;0;NULL;0.00;20;14872.57;1699;174.41;520539.87;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.400.000,00. (UM MILHÃO E QUATROCENTOS MIL REAIS)
557;2004-04-24;8;12;18;23;38;49;0;NULL;0.00;59;11001.41;3777;171.20;1656435.01;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.500.000,00 (DOIS MILHÕES E QUINHENTOS MIL REAIS).
558;2004-04-28;7;14;31;57;58;59;0;NULL;0.00;21;26571.46;2000;277.94;2632936.06;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.700.000,00 (TRÊS MILHÕES E SETECENTOS MIL REAIS).
559;2004-05-01;6;13;17;25;36;53;1;ES;3707152.54;75;8184.51;4460;137.11;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$6.500.000,00 (SEIS MILHÕES E QUINHENTOS MIL REAIS).
560;2004-05-05;2;11;18;30;32;58;0;NULL;0.00;44;16215.47;2585;274.97;6433069.85;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00 (OITO MILHÕES DE REAIS).
561;2004-05-08;1;20;36;39;49;55;0;NULL;0.00;32;31342.98;2743;364.27;8188276.67;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
562;2004-05-12;16;23;35;37;55;57;0;NULL;0.00;117;8271.95;5150;187.22;9881959.48;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
563;2004-05-15;5;8;23;34;44;51;0;NULL;0.00;90;13541.69;6007;202.12;12014774.50;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
564;2004-05-19;10;13;20;32;38;49;0;NULL;0.00;46;25392.82;4446;261.73;20397765.64;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$23.000.000,00 (VINTE E TRÊS MILHÕES DE REAIS).
565;2004-05-22;7;31;34;35;37;45;0;NULL;0.00;57;29241.27;6804;244.04;23314582.63;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$27.000.000,00 (VINTE E SETE MILHÕES DE REAIS).
566;2004-05-26;6;13;17;18;20;37;0;NULL;0.00;176;11334.45;13032;152.49;26805592.27;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$32.000.000,00 (TRINTA E DOIS MILHÕES DE REAIS).
567;2004-05-29;11;31;38;41;57;58;0;NULL;0.00;69;37888.61;5787;450.05;31380642.06;0.00;0.00;0.00;ACUMULOU!!! Estimatva de prêmio (SENA) próximo concurso: R$36.000.000,00 (TRINTA E SEIS MILHÕES DE REAIS).
568;2004-06-02;13;17;22;25;29;41;0;NULL;0.00;457;7802.44;24931;142.48;37620642.34;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$45.000.000,00 (QUARENTA E CINCO MILHÕES DE REAIS).
569;2004-06-05;3;9;14;15;32;57;1;RJ;46663532.70;434;11906.37;29922;172.04;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$21.000.000,00 (VINTE E UM MILHÕES DE REAIS).
570;2004-06-09;15;32;33;35;36;51;0;NULL;0.00;84;18168.10;7539;201.67;21431972.38;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$25.000.000,00 (VINTE E CINCO MILHÕES DE REAIS).
571;2004-06-12;12;13;14;31;50;51;0;NULL;0.00;69;22294.35;5572;275.04;24124014.99;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso:R$27.000.000,00 (VINTE E SETE MILHÕES DE REAIS).
572;2004-06-16;3;9;16;20;33;60;0;NULL;0.00;162;10668.49;9940;173.21;27148533.16;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) para o próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
573;2004-06-19;6;17;22;29;40;59;0;NULL;0.00;82;25012.22;8272;247.00;30737786.41;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$34.000.000,00 (TRINTA E QUATRO MILHÕES DE REAIS).
574;2004-06-23;2;10;17;23;32;44;0;NULL;0.00;162;12609.31;12691;160.35;45420567.88;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$50.000.000,00 (CINQÜENTA MILHÕES DE REAIS).
575;2004-06-26;5;18;21;29;35;48;2;DF/SP;25737016.52;470;7359.84;21660;159.10;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
576;2004-06-30;7;8;18;39;43;52;0;NULL;0.00;27;22856.21;1978;310.81;1079955.77;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
577;2004-07-03;8;23;24;28;31;47;0;NULL;0.00;57;15092.90;4579;187.17;2585472.50;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.000.000,00 (QUATRO MILHÕES DE REAIS).
578;2004-07-07;3;18;23;48;56;58;1;MG;3982872.62;62;12879.26;3639;218.60;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
579;2004-07-10;4;9;15;17;34;39;1;PB;1175432.13;90;7463.06;5172;129.38;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
580;2004-07-14;15;16;18;28;38;47;0;NULL;0.00;56;16168.75;4097;220.17;9592944.81;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
581;2004-07-17;14;17;25;30;39;52;1;SP;11781320.02;56;22330.36;4429;281.27;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$900.000,00.
582;2004-07-21;13;29;40;45;51;59;0;NULL;0.00;29;17143.40;1943;254.91;870027.37;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
583;2004-07-24;6;7;20;41;43;55;0;NULL;0.00;36;20218.13;2157;336.16;2143769.60;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.500.000,00 (TRÊS MILHÕES E QUINHENTOS MIL REAIS).
584;2004-07-28;7;8;23;30;32;53;0;NULL;0.00;49;13327.92;3278;198.48;8329175.80;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00. (DEZ MILHÕES DE REAIS).
585;2004-07-31;12;24;33;36;39;57;1;MG;10166807.68;124;8468.35;7122;146.89;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
586;2004-08-04;11;13;38;39;45;54;0;NULL;0.00;30;15687.92;2162;216.87;823615.95;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$1.800.000,00 (HUM MILHÃO E OITOCENTOS MIL REAIS).
587;2004-08-07;2;18;29;30;36;60;0;NULL;0.00;36;20518.92;2436;302.09;2116308.12;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$3.000.000,00 (TRÊS MILHÕES DE REAIS).
588;2004-08-11;11;13;45;46;53;55;0;NULL;0.00;22;29565.71;2088;310.34;3254587.92;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.500.000,00 (QUATRO MILHÕES E QUINHENTOS MIL REAIS).
589;2004-08-14;6;7;8;13;33;59;0;NULL;0.00;152;5926.91;9005;99.66;9594559.27;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
590;2004-08-18;4;5;18;25;28;51;0;NULL;0.00;70;14105.62;5155;190.82;11322497.59;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
591;2004-08-21;1;3;18;34;50;58;0;NULL;0.00;64;18968.95;4448;271.90;13447020.10;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$16.000.000,00.
592;2004-08-25;13;14;42;47;55;59;0;NULL;0.00;60;18664.59;5062;220.39;15406801.69;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$18.000.000,00 (DEZOITO MILHÕES DE REAIS).
593;2004-08-28;1;25;27;29;49;59;0;NULL;0.00;68;20265.54;5291;259.47;17818401.51;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00 (VINTE MILHÕES DE REAIS).
594;2004-09-01;10;13;29;47;53;55;0;NULL;0.00;121;11747.70;6444;219.76;27956987.94;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
595;2004-09-04;1;2;25;43;50;54;0;NULL;0.00;89;22736.36;7230;278.82;31498176.46;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$35.000.000,00 (TRINTA E CINCO MILHÕES DE REAIS).
596;2004-09-08;11;14;28;43;54;60;0;NULL;0.00;116;15749.68;6578;276.69;34695360.86;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$39.000.000,00 (TRINTA E NOVE MILHÕES DE REAIS).
597;2004-09-11;22;27;29;40;42;56;0;NULL;0.00;140;21650.75;10021;301.33;39999792.49;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$45.000.000,00 (Quarenta e cinco milhões de reais).
598;2004-09-15;5;16;34;38;50;53;2;DF/RS;23179951.19;234;15531.40;19229;188.29;0.00;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
599;2004-09-18;4;6;9;23;45;51;0;NULL;0.00;65;10375.80;4755;141.31;15168219.08;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$17.000.000,00 (DEZESSETE MILHÕES DE REAIS).
600;2004-09-22;16;18;31;34;39;54;0;NULL;0.00;73;16062.92;4640;251.75;17220256.51;0.00;0.00;0.00;Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00.
601;2004-09-25;10;19;22;29;30;37;0;NULL;0.00;75;18837.59;6002;234.50;19692689.90;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$22.000.000,00 (vinte e dois milhões de reais).
602;2004-09-29;7;13;38;46;55;60;0;NULL;0.00;95;13988.93;6773;195.47;22018349.56;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$24.000.000,00.
603;2004-10-02;4;8;11;12;29;44;1;SP;24750883.61;233;6701.50;12565;123.80;0.00;0.00;0.00;0.00;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00.
604;2004-10-06;15;25;41;46;49;51;0;NULL;0.00;15;35679.23;1422;374.94;8450325.62;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
605;2004-10-09;4;24;44;49;52;53;0;NULL;0.00;45;23716.98;3980;267.15;10318037.87;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
606;2004-10-13;6;23;32;35;41;55;1;SP;11878491.65;43;20736.93;3770;235.63;0.00;0.00;0.00;0.00;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00 (HUM MILHÃO  DE REAIS).
607;2004-10-16;6;11;19;27;41;59;0;NULL;0.00;48;13506.67;3059;211.14;1134560.21;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
608;2004-10-20;6;13;19;24;30;37;0;NULL;0.00;101;6267.54;5181;121.72;2242347.59;0.00;0.00;0.00;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$3.500.000,00 (TRÊS MILHÕES E QUINHENTOS MIL REAIS).
609;2004-10-23;2;6;15;58;59;60;0;NULL;0.00;60;13952.24;3994;208.81;8804117.70;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
610;2004-10-27;25;30;43;45;47;49;0;NULL;0.00;62;14911.12;4044;227.75;10421973.58;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
611;2004-10-30;16;21;22;33;48;49;0;NULL;0.00;69;16349.76;4531;248.04;12396207.89;0.00;0.00;0.00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
